,No.,Title,Storyboard by [aa],Directed by [aa],Written by [aa],Original release date,Unnamed: 6
0,1,"""Save! Rescue Training!""Transcription: ""Sukue! Kyūjo Kunren!"" (Japanese: 救え!救助訓練!)",Katsuyuki Kodera,Satoshi Takafuji,Yōsuke Kuroda,"November 27, 2016(event)April 4, 2017 (DVD)",
1,"Four days after the villains' invasion on USJ, Class 1-A returns there to resume their rescue training. Thirteen and Aizawa oversee the exercises, however, a mysterious villain who had apparently been hiding in the complex since the USJ incident takes out Todoroki and attacks the class. Although Thirteen and Aizawa urge the students to run away, they instead take on the villain together. When this fails, Midoriya devises a strategy to rescue Todoroki and attack the villain at the same time, resulting in him getting stuck onto Mineta's spheres. The villain then reveals himself to be All Might in disguise and had planned this as a 'surprise' for the students so they could stay on their toes following the USJ attack; the students are annoyed by the deception.","Four days after the villains' invasion on USJ, Class 1-A returns there to resume their rescue training. Thirteen and Aizawa oversee the exercises, however, a mysterious villain who had apparently been hiding in the complex since the USJ incident takes out Todoroki and attacks the class. Although Thirteen and Aizawa urge the students to run away, they instead take on the villain together. When this fails, Midoriya devises a strategy to rescue Todoroki and attack the villain at the same time, resulting in him getting stuck onto Mineta's spheres. The villain then reveals himself to be All Might in disguise and had planned this as a 'surprise' for the students so they could stay on their toes following the USJ attack; the students are annoyed by the deception.","Four days after the villains' invasion on USJ, Class 1-A returns there to resume their rescue training. Thirteen and Aizawa oversee the exercises, however, a mysterious villain who had apparently been hiding in the complex since the USJ incident takes out Todoroki and attacks the class. Although Thirteen and Aizawa urge the students to run away, they instead take on the villain together. When this fails, Midoriya devises a strategy to rescue Todoroki and attack the villain at the same time, resulting in him getting stuck onto Mineta's spheres. The villain then reveals himself to be All Might in disguise and had planned this as a 'surprise' for the students so they could stay on their toes following the USJ attack; the students are annoyed by the deception.","Four days after the villains' invasion on USJ, Class 1-A returns there to resume their rescue training. Thirteen and Aizawa oversee the exercises, however, a mysterious villain who had apparently been hiding in the complex since the USJ incident takes out Todoroki and attacks the class. Although Thirteen and Aizawa urge the students to run away, they instead take on the villain together. When this fails, Midoriya devises a strategy to rescue Todoroki and attack the villain at the same time, resulting in him getting stuck onto Mineta's spheres. The villain then reveals himself to be All Might in disguise and had planned this as a 'surprise' for the students so they could stay on their toes following the USJ attack; the students are annoyed by the deception.","Four days after the villains' invasion on USJ, Class 1-A returns there to resume their rescue training. Thirteen and Aizawa oversee the exercises, however, a mysterious villain who had apparently been hiding in the complex since the USJ incident takes out Todoroki and attacks the class. Although Thirteen and Aizawa urge the students to run away, they instead take on the villain together. When this fails, Midoriya devises a strategy to rescue Todoroki and attack the villain at the same time, resulting in him getting stuck onto Mineta's spheres. The villain then reveals himself to be All Might in disguise and had planned this as a 'surprise' for the students so they could stay on their toes following the USJ attack; the students are annoyed by the deception.","Four days after the villains' invasion on USJ, Class 1-A returns there to resume their rescue training. Thirteen and Aizawa oversee the exercises, however, a mysterious villain who had apparently been hiding in the complex since the USJ incident takes out Todoroki and attacks the class. Although Thirteen and Aizawa urge the students to run away, they instead take on the villain together. When this fails, Midoriya devises a strategy to rescue Todoroki and attack the villain at the same time, resulting in him getting stuck onto Mineta's spheres. The villain then reveals himself to be All Might in disguise and had planned this as a 'surprise' for the students so they could stay on their toes following the USJ attack; the students are annoyed by the deception.","Four days after the villains' invasion on USJ, Class 1-A returns there to resume their rescue training. Thirteen and Aizawa oversee the exercises, however, a mysterious villain who had apparently been hiding in the complex since the USJ incident takes out Todoroki and attacks the class. Although Thirteen and Aizawa urge the students to run away, they instead take on the villain together. When this fails, Midoriya devises a strategy to rescue Todoroki and attack the villain at the same time, resulting in him getting stuck onto Mineta's spheres. The villain then reveals himself to be All Might in disguise and had planned this as a 'surprise' for the students so they could stay on their toes following the USJ attack; the students are annoyed by the deception."
2,2,"""Training of the Dead""Transcription: ""Torēningu obu za Deddo"" (Japanese: トレーニング・オブ・ザ・デッド)",Shinji Ishihira,Ikurō Satō,Yōsuke Kuroda,"June 2, 2017",
3,"After the hero internships, Aizawa announces that Class 1-A will participate in an amicable training exercise alongside four heroes-in-training from Isamu High School. One of them is Tsuyu's old friend, the snakelike Habuko, while another student, Fujimi, instantly clashes with Bakugo. All Might explains that the training exercise will split the twenty-four students into six groups of four, with the goal just being to outlast all the other teams. Since the survival battle royale setup puts Midoriya's team (composed of him, Uraraka, Tsuyu, and Ashido) at a disadvantage, they decide to lay low. Meanwhile, Bakugo quickly takes out a couple of other teams, but during a clash with the Isamu students, Fujimi releases his ""Zombie Virus"" Quirk which turns people into zombie-like creatures. As all the students become eventually infected by the virus, including Fujimi himself, only Midoriya, Todoroki, Uraraka, and Ashido manage to escape; even All Might's attempt to rescue them fails when he transforms into his skeletal form, which is confused as being a zombie by the actual zombies. The four survivors hole up in a cave, and just as Midoriya and Todoroki stage a frontal attack on the zombies, the effects of the Zombie Virus are reversed and the students are returned to normal. With the training exercise concluded and everyone's injuries patched up, the Isamu students bid farewell to 1-A, while an injured Midoriya still lies in bed, having been attacked by a rage-induced Bakugo.","After the hero internships, Aizawa announces that Class 1-A will participate in an amicable training exercise alongside four heroes-in-training from Isamu High School. One of them is Tsuyu's old friend, the snakelike Habuko, while another student, Fujimi, instantly clashes with Bakugo. All Might explains that the training exercise will split the twenty-four students into six groups of four, with the goal just being to outlast all the other teams. Since the survival battle royale setup puts Midoriya's team (composed of him, Uraraka, Tsuyu, and Ashido) at a disadvantage, they decide to lay low. Meanwhile, Bakugo quickly takes out a couple of other teams, but during a clash with the Isamu students, Fujimi releases his ""Zombie Virus"" Quirk which turns people into zombie-like creatures. As all the students become eventually infected by the virus, including Fujimi himself, only Midoriya, Todoroki, Uraraka, and Ashido manage to escape; even All Might's attempt to rescue them fails when he transforms into his skeletal form, which is confused as being a zombie by the actual zombies. The four survivors hole up in a cave, and just as Midoriya and Todoroki stage a frontal attack on the zombies, the effects of the Zombie Virus are reversed and the students are returned to normal. With the training exercise concluded and everyone's injuries patched up, the Isamu students bid farewell to 1-A, while an injured Midoriya still lies in bed, having been attacked by a rage-induced Bakugo.","After the hero internships, Aizawa announces that Class 1-A will participate in an amicable training exercise alongside four heroes-in-training from Isamu High School. One of them is Tsuyu's old friend, the snakelike Habuko, while another student, Fujimi, instantly clashes with Bakugo. All Might explains that the training exercise will split the twenty-four students into six groups of four, with the goal just being to outlast all the other teams. Since the survival battle royale setup puts Midoriya's team (composed of him, Uraraka, Tsuyu, and Ashido) at a disadvantage, they decide to lay low. Meanwhile, Bakugo quickly takes out a couple of other teams, but during a clash with the Isamu students, Fujimi releases his ""Zombie Virus"" Quirk which turns people into zombie-like creatures. As all the students become eventually infected by the virus, including Fujimi himself, only Midoriya, Todoroki, Uraraka, and Ashido manage to escape; even All Might's attempt to rescue them fails when he transforms into his skeletal form, which is confused as being a zombie by the actual zombies. The four survivors hole up in a cave, and just as Midoriya and Todoroki stage a frontal attack on the zombies, the effects of the Zombie Virus are reversed and the students are returned to normal. With the training exercise concluded and everyone's injuries patched up, the Isamu students bid farewell to 1-A, while an injured Midoriya still lies in bed, having been attacked by a rage-induced Bakugo.","After the hero internships, Aizawa announces that Class 1-A will participate in an amicable training exercise alongside four heroes-in-training from Isamu High School. One of them is Tsuyu's old friend, the snakelike Habuko, while another student, Fujimi, instantly clashes with Bakugo. All Might explains that the training exercise will split the twenty-four students into six groups of four, with the goal just being to outlast all the other teams. Since the survival battle royale setup puts Midoriya's team (composed of him, Uraraka, Tsuyu, and Ashido) at a disadvantage, they decide to lay low. Meanwhile, Bakugo quickly takes out a couple of other teams, but during a clash with the Isamu students, Fujimi releases his ""Zombie Virus"" Quirk which turns people into zombie-like creatures. As all the students become eventually infected by the virus, including Fujimi himself, only Midoriya, Todoroki, Uraraka, and Ashido manage to escape; even All Might's attempt to rescue them fails when he transforms into his skeletal form, which is confused as being a zombie by the actual zombies. The four survivors hole up in a cave, and just as Midoriya and Todoroki stage a frontal attack on the zombies, the effects of the Zombie Virus are reversed and the students are returned to normal. With the training exercise concluded and everyone's injuries patched up, the Isamu students bid farewell to 1-A, while an injured Midoriya still lies in bed, having been attacked by a rage-induced Bakugo.","After the hero internships, Aizawa announces that Class 1-A will participate in an amicable training exercise alongside four heroes-in-training from Isamu High School. One of them is Tsuyu's old friend, the snakelike Habuko, while another student, Fujimi, instantly clashes with Bakugo. All Might explains that the training exercise will split the twenty-four students into six groups of four, with the goal just being to outlast all the other teams. Since the survival battle royale setup puts Midoriya's team (composed of him, Uraraka, Tsuyu, and Ashido) at a disadvantage, they decide to lay low. Meanwhile, Bakugo quickly takes out a couple of other teams, but during a clash with the Isamu students, Fujimi releases his ""Zombie Virus"" Quirk which turns people into zombie-like creatures. As all the students become eventually infected by the virus, including Fujimi himself, only Midoriya, Todoroki, Uraraka, and Ashido manage to escape; even All Might's attempt to rescue them fails when he transforms into his skeletal form, which is confused as being a zombie by the actual zombies. The four survivors hole up in a cave, and just as Midoriya and Todoroki stage a frontal attack on the zombies, the effects of the Zombie Virus are reversed and the students are returned to normal. With the training exercise concluded and everyone's injuries patched up, the Isamu students bid farewell to 1-A, while an injured Midoriya still lies in bed, having been attacked by a rage-induced Bakugo.","After the hero internships, Aizawa announces that Class 1-A will participate in an amicable training exercise alongside four heroes-in-training from Isamu High School. One of them is Tsuyu's old friend, the snakelike Habuko, while another student, Fujimi, instantly clashes with Bakugo. All Might explains that the training exercise will split the twenty-four students into six groups of four, with the goal just being to outlast all the other teams. Since the survival battle royale setup puts Midoriya's team (composed of him, Uraraka, Tsuyu, and Ashido) at a disadvantage, they decide to lay low. Meanwhile, Bakugo quickly takes out a couple of other teams, but during a clash with the Isamu students, Fujimi releases his ""Zombie Virus"" Quirk which turns people into zombie-like creatures. As all the students become eventually infected by the virus, including Fujimi himself, only Midoriya, Todoroki, Uraraka, and Ashido manage to escape; even All Might's attempt to rescue them fails when he transforms into his skeletal form, which is confused as being a zombie by the actual zombies. The four survivors hole up in a cave, and just as Midoriya and Todoroki stage a frontal attack on the zombies, the effects of the Zombie Virus are reversed and the students are returned to normal. With the training exercise concluded and everyone's injuries patched up, the Isamu students bid farewell to 1-A, while an injured Midoriya still lies in bed, having been attacked by a rage-induced Bakugo.","After the hero internships, Aizawa announces that Class 1-A will participate in an amicable training exercise alongside four heroes-in-training from Isamu High School. One of them is Tsuyu's old friend, the snakelike Habuko, while another student, Fujimi, instantly clashes with Bakugo. All Might explains that the training exercise will split the twenty-four students into six groups of four, with the goal just being to outlast all the other teams. Since the survival battle royale setup puts Midoriya's team (composed of him, Uraraka, Tsuyu, and Ashido) at a disadvantage, they decide to lay low. Meanwhile, Bakugo quickly takes out a couple of other teams, but during a clash with the Isamu students, Fujimi releases his ""Zombie Virus"" Quirk which turns people into zombie-like creatures. As all the students become eventually infected by the virus, including Fujimi himself, only Midoriya, Todoroki, Uraraka, and Ashido manage to escape; even All Might's attempt to rescue them fails when he transforms into his skeletal form, which is confused as being a zombie by the actual zombies. The four survivors hole up in a cave, and just as Midoriya and Todoroki stage a frontal attack on the zombies, the effects of the Zombie Virus are reversed and the students are returned to normal. With the training exercise concluded and everyone's injuries patched up, the Isamu students bid farewell to 1-A, while an injured Midoriya still lies in bed, having been attacked by a rage-induced Bakugo."
4,3,"""All Might: Rising""Transcription: ""Ōru Maito: Raijingu"" (Japanese: オールマイト：ライジング)",Kenji Nagasaki,Kenji Nagasaki,Yōsuke Kuroda,"February 13, 2019",
5,"A one-shot that delves further into All Might's past released alongside My Hero Academia: Two Heroes. During a battle with All For One that's escalating toward the destruction of One For All, Nana Shimura pushes her pupil, Toshinori Yagi, out of danger. Toshinori calls out to his master as Gran Torino swoops in and flies him away. Nana turns to her successor and with one last smile, reminds him that she's counting on him to save the world. Toshinori screams for his master as Gran Torino flies away filled with grief. Knowing in her heart that All Might will rise to take her place, Nana turns to face her nemesis. The evil mastermind thanks her for entertaining him and finishes her off with a powerful explosion created from a surge of black lightning, which decimates the entire island. While mourning his master, Gran Torino tells Toshinori that once he graduates from U.A. to leave the country to evade All For One. That spring, after graduating, Toshinori is about to travel to America, styling his hair into what would become his iconic hairdo and dons his master's signature smile. After taking off, Toshinori promises to return to Japan and save everyone with all his might.","A one-shot that delves further into All Might's past released alongside My Hero Academia: Two Heroes. During a battle with All For One that's escalating toward the destruction of One For All, Nana Shimura pushes her pupil, Toshinori Yagi, out of danger. Toshinori calls out to his master as Gran Torino swoops in and flies him away. Nana turns to her successor and with one last smile, reminds him that she's counting on him to save the world. Toshinori screams for his master as Gran Torino flies away filled with grief. Knowing in her heart that All Might will rise to take her place, Nana turns to face her nemesis. The evil mastermind thanks her for entertaining him and finishes her off with a powerful explosion created from a surge of black lightning, which decimates the entire island. While mourning his master, Gran Torino tells Toshinori that once he graduates from U.A. to leave the country to evade All For One. That spring, after graduating, Toshinori is about to travel to America, styling his hair into what would become his iconic hairdo and dons his master's signature smile. After taking off, Toshinori promises to return to Japan and save everyone with all his might.","A one-shot that delves further into All Might's past released alongside My Hero Academia: Two Heroes. During a battle with All For One that's escalating toward the destruction of One For All, Nana Shimura pushes her pupil, Toshinori Yagi, out of danger. Toshinori calls out to his master as Gran Torino swoops in and flies him away. Nana turns to her successor and with one last smile, reminds him that she's counting on him to save the world. Toshinori screams for his master as Gran Torino flies away filled with grief. Knowing in her heart that All Might will rise to take her place, Nana turns to face her nemesis. The evil mastermind thanks her for entertaining him and finishes her off with a powerful explosion created from a surge of black lightning, which decimates the entire island. While mourning his master, Gran Torino tells Toshinori that once he graduates from U.A. to leave the country to evade All For One. That spring, after graduating, Toshinori is about to travel to America, styling his hair into what would become his iconic hairdo and dons his master's signature smile. After taking off, Toshinori promises to return to Japan and save everyone with all his might.","A one-shot that delves further into All Might's past released alongside My Hero Academia: Two Heroes. During a battle with All For One that's escalating toward the destruction of One For All, Nana Shimura pushes her pupil, Toshinori Yagi, out of danger. Toshinori calls out to his master as Gran Torino swoops in and flies him away. Nana turns to her successor and with one last smile, reminds him that she's counting on him to save the world. Toshinori screams for his master as Gran Torino flies away filled with grief. Knowing in her heart that All Might will rise to take her place, Nana turns to face her nemesis. The evil mastermind thanks her for entertaining him and finishes her off with a powerful explosion created from a surge of black lightning, which decimates the entire island. While mourning his master, Gran Torino tells Toshinori that once he graduates from U.A. to leave the country to evade All For One. That spring, after graduating, Toshinori is about to travel to America, styling his hair into what would become his iconic hairdo and dons his master's signature smile. After taking off, Toshinori promises to return to Japan and save everyone with all his might.","A one-shot that delves further into All Might's past released alongside My Hero Academia: Two Heroes. During a battle with All For One that's escalating toward the destruction of One For All, Nana Shimura pushes her pupil, Toshinori Yagi, out of danger. Toshinori calls out to his master as Gran Torino swoops in and flies him away. Nana turns to her successor and with one last smile, reminds him that she's counting on him to save the world. Toshinori screams for his master as Gran Torino flies away filled with grief. Knowing in her heart that All Might will rise to take her place, Nana turns to face her nemesis. The evil mastermind thanks her for entertaining him and finishes her off with a powerful explosion created from a surge of black lightning, which decimates the entire island. While mourning his master, Gran Torino tells Toshinori that once he graduates from U.A. to leave the country to evade All For One. That spring, after graduating, Toshinori is about to travel to America, styling his hair into what would become his iconic hairdo and dons his master's signature smile. After taking off, Toshinori promises to return to Japan and save everyone with all his might.","A one-shot that delves further into All Might's past released alongside My Hero Academia: Two Heroes. During a battle with All For One that's escalating toward the destruction of One For All, Nana Shimura pushes her pupil, Toshinori Yagi, out of danger. Toshinori calls out to his master as Gran Torino swoops in and flies him away. Nana turns to her successor and with one last smile, reminds him that she's counting on him to save the world. Toshinori screams for his master as Gran Torino flies away filled with grief. Knowing in her heart that All Might will rise to take her place, Nana turns to face her nemesis. The evil mastermind thanks her for entertaining him and finishes her off with a powerful explosion created from a surge of black lightning, which decimates the entire island. While mourning his master, Gran Torino tells Toshinori that once he graduates from U.A. to leave the country to evade All For One. That spring, after graduating, Toshinori is about to travel to America, styling his hair into what would become his iconic hairdo and dons his master's signature smile. After taking off, Toshinori promises to return to Japan and save everyone with all his might.","A one-shot that delves further into All Might's past released alongside My Hero Academia: Two Heroes. During a battle with All For One that's escalating toward the destruction of One For All, Nana Shimura pushes her pupil, Toshinori Yagi, out of danger. Toshinori calls out to his master as Gran Torino swoops in and flies him away. Nana turns to her successor and with one last smile, reminds him that she's counting on him to save the world. Toshinori screams for his master as Gran Torino flies away filled with grief. Knowing in her heart that All Might will rise to take her place, Nana turns to face her nemesis. The evil mastermind thanks her for entertaining him and finishes her off with a powerful explosion created from a surge of black lightning, which decimates the entire island. While mourning his master, Gran Torino tells Toshinori that once he graduates from U.A. to leave the country to evade All For One. That spring, after graduating, Toshinori is about to travel to America, styling his hair into what would become his iconic hairdo and dons his master's signature smile. After taking off, Toshinori promises to return to Japan and save everyone with all his might."
6,4,"""Make It! Do-or-Die Survival Training, Part 1""Transcription: ""Ikinokore! Kesshi no Sabaibaru Kunren Zenpen"" (Japanese: 生き残れ！決死のサバイバル訓練 前編)",Shinji Ishihira,Shōji Ikeno,Yōsuke Kuroda,"August 16, 2020",
7,"In preparation for Class 1-A's Provisional Hero License Exam, Eraser Head decides to give the class a training exercise on disaster rescue, due to previous license exams having a disaster rescue test in most cases. The class is split into two teams of ten students: Team A consisting of Midoriya, Bakugo, Todoroki, Ida, Uraraka, Asui, Kaminari, Kirishima, Tokoyami, and Yaoyorozu. Team A is tasked with rescuing a training dummy from a six-floor shopping mall constructed in Ground Beta. Two hours prior, a fire broke out at the bottom floor, and all the other civilians barring the dummy were evacuated. The fire caused the building's power to be knocked out, but the emergency power is still functional. The building's mobile relay station is also down, preventing the student's from contacting each other through their cell phones. Team A decides to split up into smaller groups and search each floor one-by-one for the training dummy. As Midoriya states that their real training is about to begin, a wall cracks open and water starts to pour into the mall.","In preparation for Class 1-A's Provisional Hero License Exam, Eraser Head decides to give the class a training exercise on disaster rescue, due to previous license exams having a disaster rescue test in most cases. The class is split into two teams of ten students: Team A consisting of Midoriya, Bakugo, Todoroki, Ida, Uraraka, Asui, Kaminari, Kirishima, Tokoyami, and Yaoyorozu. Team A is tasked with rescuing a training dummy from a six-floor shopping mall constructed in Ground Beta. Two hours prior, a fire broke out at the bottom floor, and all the other civilians barring the dummy were evacuated. The fire caused the building's power to be knocked out, but the emergency power is still functional. The building's mobile relay station is also down, preventing the student's from contacting each other through their cell phones. Team A decides to split up into smaller groups and search each floor one-by-one for the training dummy. As Midoriya states that their real training is about to begin, a wall cracks open and water starts to pour into the mall.","In preparation for Class 1-A's Provisional Hero License Exam, Eraser Head decides to give the class a training exercise on disaster rescue, due to previous license exams having a disaster rescue test in most cases. The class is split into two teams of ten students: Team A consisting of Midoriya, Bakugo, Todoroki, Ida, Uraraka, Asui, Kaminari, Kirishima, Tokoyami, and Yaoyorozu. Team A is tasked with rescuing a training dummy from a six-floor shopping mall constructed in Ground Beta. Two hours prior, a fire broke out at the bottom floor, and all the other civilians barring the dummy were evacuated. The fire caused the building's power to be knocked out, but the emergency power is still functional. The building's mobile relay station is also down, preventing the student's from contacting each other through their cell phones. Team A decides to split up into smaller groups and search each floor one-by-one for the training dummy. As Midoriya states that their real training is about to begin, a wall cracks open and water starts to pour into the mall.","In preparation for Class 1-A's Provisional Hero License Exam, Eraser Head decides to give the class a training exercise on disaster rescue, due to previous license exams having a disaster rescue test in most cases. The class is split into two teams of ten students: Team A consisting of Midoriya, Bakugo, Todoroki, Ida, Uraraka, Asui, Kaminari, Kirishima, Tokoyami, and Yaoyorozu. Team A is tasked with rescuing a training dummy from a six-floor shopping mall constructed in Ground Beta. Two hours prior, a fire broke out at the bottom floor, and all the other civilians barring the dummy were evacuated. The fire caused the building's power to be knocked out, but the emergency power is still functional. The building's mobile relay station is also down, preventing the student's from contacting each other through their cell phones. Team A decides to split up into smaller groups and search each floor one-by-one for the training dummy. As Midoriya states that their real training is about to begin, a wall cracks open and water starts to pour into the mall.","In preparation for Class 1-A's Provisional Hero License Exam, Eraser Head decides to give the class a training exercise on disaster rescue, due to previous license exams having a disaster rescue test in most cases. The class is split into two teams of ten students: Team A consisting of Midoriya, Bakugo, Todoroki, Ida, Uraraka, Asui, Kaminari, Kirishima, Tokoyami, and Yaoyorozu. Team A is tasked with rescuing a training dummy from a six-floor shopping mall constructed in Ground Beta. Two hours prior, a fire broke out at the bottom floor, and all the other civilians barring the dummy were evacuated. The fire caused the building's power to be knocked out, but the emergency power is still functional. The building's mobile relay station is also down, preventing the student's from contacting each other through their cell phones. Team A decides to split up into smaller groups and search each floor one-by-one for the training dummy. As Midoriya states that their real training is about to begin, a wall cracks open and water starts to pour into the mall.","In preparation for Class 1-A's Provisional Hero License Exam, Eraser Head decides to give the class a training exercise on disaster rescue, due to previous license exams having a disaster rescue test in most cases. The class is split into two teams of ten students: Team A consisting of Midoriya, Bakugo, Todoroki, Ida, Uraraka, Asui, Kaminari, Kirishima, Tokoyami, and Yaoyorozu. Team A is tasked with rescuing a training dummy from a six-floor shopping mall constructed in Ground Beta. Two hours prior, a fire broke out at the bottom floor, and all the other civilians barring the dummy were evacuated. The fire caused the building's power to be knocked out, but the emergency power is still functional. The building's mobile relay station is also down, preventing the student's from contacting each other through their cell phones. Team A decides to split up into smaller groups and search each floor one-by-one for the training dummy. As Midoriya states that their real training is about to begin, a wall cracks open and water starts to pour into the mall.","In preparation for Class 1-A's Provisional Hero License Exam, Eraser Head decides to give the class a training exercise on disaster rescue, due to previous license exams having a disaster rescue test in most cases. The class is split into two teams of ten students: Team A consisting of Midoriya, Bakugo, Todoroki, Ida, Uraraka, Asui, Kaminari, Kirishima, Tokoyami, and Yaoyorozu. Team A is tasked with rescuing a training dummy from a six-floor shopping mall constructed in Ground Beta. Two hours prior, a fire broke out at the bottom floor, and all the other civilians barring the dummy were evacuated. The fire caused the building's power to be knocked out, but the emergency power is still functional. The building's mobile relay station is also down, preventing the student's from contacting each other through their cell phones. Team A decides to split up into smaller groups and search each floor one-by-one for the training dummy. As Midoriya states that their real training is about to begin, a wall cracks open and water starts to pour into the mall."
8,5,"""Make It! Do-or-Die Survival Training, Part 2""Transcription: ""Ikinokore! Kesshi no Sabaibaru Kunren Kōhen"" (Japanese: 生き残れ！決死のサバイバル訓練 後編)",Shinji Ishihira,Ikurō Satō,Yōsuke Kuroda,"August 16, 2020",
