,No.overall,No. inseason,Title [33],Storyboarded by [a],Directed by [a],Written by [a],Original air date [33],English air date,Viewership rating [34]
0,64,1,"""The Scoop on U.A. Class 1-A""Transcription: ""Sukūpu U.A. Ichi-Nen Ei-Gumi"" (Japanese: スクープ雄英1年A組)",Masahiro Mukai,Naomi Nakayama,Yōsuke Kuroda,"October 12, 2019[m]","November 9, 2019",
1,65,2,"""Overhaul""Transcription: ""Ōbāhōru"" (Japanese: オーバーホール)",Masahiro Mukai,Tomo Ōkubo,Yōsuke Kuroda,"October 19, 2019","November 16, 2019",4.5%
2,66,3,"""Boy Meets...""Transcription: ""Bōi Mītsu"" (Japanese: ボーイ・ミーツ...)",Takashi Kawabata,Masashi Abe,Yōsuke Kuroda,"October 26, 2019","November 23, 2019",4.0%
3,67,4,"""Fighting Fate""Transcription: ""Aragau Unmei"" (Japanese: 抗う運命)",Kō Matsuo,Shōji Ikeno,Yōsuke Kuroda,"November 9, 2019[n]","November 30, 2019",4.6%
4,68,5,"""Let's Go, Gutsy Red Riot""Transcription: ""Gattsuda Rettsura Reddo Raiotto"" (Japanese: ガッツだレッツラレッドライオット)",Shinji Ishihira,Tetsuya Miyanishi[o],Yōsuke Kuroda,"November 16, 2019","December 7, 2019",3.2%
5,69,6,"""An Unpleasant Talk""Transcription: ""Iyana Hanashi"" (Japanese: 嫌な話)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,"November 23, 2019","December 14, 2019",4.1%
6,70,7,"""GO!!""",Miwa Sasaki,Miwa Sasaki,Yōsuke Kuroda,"November 30, 2019","January 4, 2020",4.8%
7,71,8,"""Suneater of the Big Three""Transcription: ""Biggu 3 no San'ītā"" (Japanese: ビッグ3のサンイーター)",Shinji Satō,Masashi Abe,Yōsuke Kuroda,"December 7, 2019","January 11, 2020",4.8%
8,72,9,"""Red Riot""Transcription: ""Reddo Raiotto"" (Japanese: .mw-parser-output .templateruby>rt{font-feature-settings:""ruby""1;font-size:85%}.mw-parser-output .templateruby.large{font-size:250%}.mw-parser-output .templateruby.large>rt{font-size:50%}烈怒頼雄斗（レッドライオット）)",Shinji Ishihira,Shōji Ikeno,Yōsuke Kuroda,"December 14, 2019","January 18, 2020",3.7%
9,73,10,"""Temp Squad""Transcription: ""Shukkō"" (Japanese: 出向)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,"December 21, 2019","January 25, 2020",3.8%
10,74,11,"""Lemillion""Transcription: ""Rumirion"" (Japanese: ルミリオン)",Tetsuya Miyanishi,Tetsuya Miyanishi,Yōsuke Kuroda,"December 28, 2019","February 1, 2020",4.1%
11,75,12,"""Unforeseen Hope""Transcription: ""Mienai Kibō"" (Japanese: 見えない希望)",Kō Matsuo,Shōji Ikeno,Yōsuke Kuroda,"January 4, 2020","February 8, 2020",3.3%
12,76,13,"""Infinite 100%""Transcription: ""Mugen Hyaku-pāsento"" (Japanese: 無限100%)","Takashi Kawabata,Masahiro Mukai","Masashi Abe,Tetsuya Miyanishi",Yōsuke Kuroda,"January 11, 2020","February 15, 2020",4.3%
13,77,14,"""Bright Future""Transcription: ""Akarui Mirai"" (Japanese: 明るい未来)",Miwa Sasaki,Miwa Sasaki,Yōsuke Kuroda,"January 18, 2020","February 29, 2020[p]",3.4%
14,78,15,"""Smoldering Flames""Transcription: ""Kusuburu Honō"" (Japanese: 燻る炎)",Naomi Nakayama,Shōji Ikeno,Yōsuke Kuroda,"January 25, 2020","March 7, 2020",4.3%
15,79,16,"""Win Those Kids' Hearts""Transcription: ""Tsukame Gaki Kokoro"" (Japanese: 掴めガキ心)",Hidekazu Hara,Hidekazu Hara,Yōsuke Kuroda,"February 1, 2020","March 14, 2020",5.2%
16,80,17,"""Relief for License Trainees""Transcription: ""Hokkore Karimen Kōshū"" (Japanese: ホッコれ仮免講習)",Takashi Kawabata,Masashi Abe,Yōsuke Kuroda,"February 8, 2020","March 21, 2020",4.3%
17,81,18,"""School Festival""Transcription: ""Bunkasai"" (Japanese: 文化祭)",Shinji Ishihira,Tetsuya Miyanishi,Yōsuke Kuroda,"February 15, 2020","March 28, 2020",4.5%
18,82,19,"""Prepping for the School Festival Is the Funnest Part""Transcription: ""Bunkasai-tte Junbi-shiteru Toki ga Ichiban Tanoshii yo ne"" (Japanese: 文化祭って準備してる時が一番楽しいよね)",Kō Matsuo,Shōji Ikeno,Yōsuke Kuroda,"February 22, 2020","April 4, 2020",4.3%
19,83,20,"""Gold Tips Imperial""Transcription: ""Gōrudo Tippusu Inperiaru"" (Japanese: ゴールドティップスインペリアル)",Naomi Nakayama,Masashi Abe,Yōsuke Kuroda,"February 29, 2020","April 19, 2020[q]",4.4%
20,84,21,"""Deku vs. Gentle Criminal""Transcription: ""Deku Bāsasu Jentoru Kuriminaru"" (Japanese: デクVSジェントル・クリミナル)",Shinji Ishihira,Shōji Ikeno,Yōsuke Kuroda,"March 7, 2020","April 26, 2020[r]",4.6%
21,85,22,"""School Festival Start!!""Transcription: ""Kaisai Bunkasai!!"" (Japanese: 開催文化祭!!)",Miwa Sasaki,Miwa Sasaki,Yōsuke Kuroda,"March 14, 2020","May 3, 2020",4.1%
22,86,23,"""Let It Flow! School Festival!""Transcription: ""Tare Nagase! Bunkasai!"" (Japanese: 垂れ流せ！文化祭！)",Shinji Satō,Shōji Ikeno,Yōsuke Kuroda,"March 21, 2020","May 17, 2020[s]",3.8%
23,87,24,"""Japanese Hero Billboard Chart""Transcription: ""Hīrō Birubōdo Chāto Jeipī"" (Japanese: ヒーロービルボードチャートJP)",Naomi Nakayama,Masashi Abe,Yōsuke Kuroda,"March 28, 2020","June 21, 2020[t]",6.0%
24,88,25,"""His Start""Transcription: ""Hajimarino"" (Japanese: 始まりの)",Tetsuya Miyanishi,Tetsuya Miyanishi,Yōsuke Kuroda,"April 4, 2020","June 28, 2020",5.6%
